frame_info.encap_type,frame_info.time,frame_info.time_epoch,frame_info.number,frame_info.len,frame_info.cap_len,eth.type,ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val
1,"Feb 23, 2021 20:22:44.283198000 CST",1614133364.283198000,88,86,86,0x000086dd,,,,,,,,,,,,,,,,,443,62689,41,2,0,32,0x00000010,0,0,0,0,1,0,0,422,0x00005a39,0,
1,"Feb 23, 2021 20:22:44.597628000 CST",1614133364.597628000,90,54,54,0x00000800,4,20,,0x00003674,0x00000000,0,0,0,0,64,6,0x00003ddb,10.0.0.22,140.82.112.25,40,0x00000000,62297,443,1,1,0,20,0x00000010,0,0,0,0,1,0,0,2048,0x0000b806,0,
1,"Feb 23, 2021 20:22:44.649179000 CST",1614133364.649179000,91,66,66,0x00000800,4,20,,0x00007e28,0x00000040,0,1,0,0,44,6,0x0000ca1a,140.82.112.25,10.0.0.22,52,0x00000000,443,62297,1,2,0,32,0x00000010,0,0,0,0,1,0,0,71,0x000033f1,0,
1,"Feb 23, 2021 20:22:45.552139000 CST",1614133365.552139000,94,135,135,0x000086dd,,,,,,,,,,,,,,,,,62698,443,54,31,49,32,0x00000018,0,0,0,1,1,0,0,2048,0x0000fb84,0,
1,"Feb 23, 2021 20:22:45.616812000 CST",1614133365.616812000,95,116,116,0x000086dd,,,,,,,,,,,,,,,,,443,62698,31,103,30,32,0x00000018,0,0,0,1,1,0,0,305,0x0000ec7c,0,
1,"Feb 23, 2021 20:22:45.616925000 CST",1614133365.616925000,96,86,86,0x000086dd,,,,,,,,,,,,,,,,,62698,443,103,61,0,32,0x00000010,0,0,0,0,1,0,0,2047,0x00002126,0,
1,"Feb 23, 2021 20:22:45.906494000 CST",1614133365.906494000,97,625,625,0x00000800,4,20,,0x00000000,0x00000040,0,1,0,0,64,6,0x00002455,10.0.0.22,10.0.0.43,611,0x00000000,62733,80,1119,6954,559,32,0x00000018,0,0,0,1,1,0,0,131072,0x00002fba,0,
1,"Feb 23, 2021 20:22:45.914399000 CST",1614133365.914399000,98,66,66,0x00000800,4,20,,0x0000ce74,0x00000040,0,1,0,0,64,6,0x0000580f,10.0.0.43,10.0.0.22,52,0x00000000,80,62733,6954,1678,0,32,0x00000010,0,0,0,0,1,0,0,63616,0x0000288a,0,
1,"Feb 23, 2021 20:22:45.915390000 CST",1614133365.915390000,99,1514,1514,0x00000800,4,20,,0x0000ce75,0x00000040,0,1,0,0,64,6,0x00005266,10.0.0.43,10.0.0.22,1500,0x00000000,80,62733,6954,1678,1448,32,0x00000010,0,0,0,0,1,0,0,64128,0x0000a053,0,
1,"Feb 23, 2021 20:22:45.915426000 CST",1614133365.915426000,100,66,66,0x00000800,4,20,,0x00000000,0x00000040,0,1,0,0,64,6,0x00002684,10.0.0.22,10.0.0.43,52,0x00000000,62733,80,1678,8402,0,32,0x00000010,0,0,0,0,1,0,0,129600,0x00001ce2,0,
1,"Feb 23, 2021 20:22:45.915816000 CST",1614133365.915816000,101,1514,1514,0x00000800,4,20,,0x0000ce76,0x00000040,0,1,0,0,64,6,0x00005265,10.0.0.43,10.0.0.22,1500,0x00000000,80,62733,8402,1678,1448,32,0x00000010,0,0,0,0,1,0,0,64128,0x0000bab0,0,
1,"Feb 23, 2021 20:22:45.915818000 CST",1614133365.915818000,102,646,646,0x00000800,4,20,,0x0000ce77,0x00000040,0,1,0,0,64,6,0x000055c8,10.0.0.43,10.0.0.22,632,0x00000000,80,62733,9850,1678,580,32,0x00000018,0,0,0,1,1,0,0,64128,0x0000a142,0,
1,"Feb 23, 2021 20:22:45.915857000 CST",1614133365.915857000,103,66,66,0x00000800,4,20,,0x00000000,0x00000040,0,1,0,0,64,6,0x00002684,10.0.0.22,10.0.0.43,52,0x00000000,62733,80,1678,10430,0,32,0x00000010,0,0,0,0,1,0,0,129024,0x000014fe,0,
1,"Feb 23, 2021 20:22:47.288945000 CST",1614133367.288945000,107,74,74,0x000086dd,,,,,,,,,,,,,,,,,62349,5228,1,1,0,20,0x00000010,0,0,0,0,1,0,0,2048,0x0000c4eb,0,
1,"Feb 23, 2021 20:22:47.335658000 CST",1614133367.335658000,108,86,86,0x000086dd,,,,,,,,,,,,,,,,,5228,62349,1,2,0,32,0x00000010,0,0,0,0,1,0,0,265,0x00009312,0,
1,"Feb 23, 2021 20:22:47.569180000 CST",1614133367.569180000,109,625,625,0x00000800,4,20,,0x00000000,0x00000040,0,1,0,0,64,6,0x00002455,10.0.0.22,10.0.0.43,611,0x00000000,62733,80,1678,10430,559,32,0x00000018,0,0,0,1,1,0,0,131072,0x000011fa,0,
1,"Feb 23, 2021 20:22:47.571667000 CST",1614133367.571667000,110,66,66,0x00000800,4,20,,0x0000ce78,0x00000040,0,1,0,0,64,6,0x0000580b,10.0.0.43,10.0.0.22,52,0x00000000,80,62733,10430,2237,0,32,0x00000010,0,0,0,0,1,0,0,63616,0x00000bd8,0,
